,,クモハ100,,クモハ101,,モハ100,,モハ101,,,
,,クハ100,,クハ101,,サハ100,,サハ101,,,
所属,,車番,新製年月日,製造所,配置区,,転属年月日,新区,廃車年月日,,
,,,改造年月日,改造所,配置区,改造前車番,,,改造年月日,改造後車番,
クモハ100,,,,,,,,,,,
,,,,,,,1973.09.10,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,クモハ100-90,1961.03.10,近畿車両,淀川,,1961.04.01,森ノ宮,1985.03.16,,
,,,,,,,1976.04.13,淀川,,,
国,○,クモハ100-91,1961.03.20,近畿車両,淀川,,1961.04.01,森ノ宮,1983.02.21,,
,,,,,,,1973.09.14,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,クモハ100-92,1961.03.28,近畿車両,淀川,,1961.04.01,森ノ宮,1984.11.30,,
,,,,,,,1961.09.19,淀川,,,
,,,,,,,1961.10.30,森ノ宮,,,
,,,,,,,1961.11.17,武蔵小金井,,,
,,,,,,,1962.02.02,森ノ宮,,,
,,,,,,,1976.09.08,淀川,,,
国,○,クモハ100-93,1961.07.15,日本車両,武蔵小金井,,,,1983.03.11,,
国,○,クモハ100-94,1961.07.06,日本車両,森ノ宮,,1976.04.08,淀川,1983.12.07,,
国,○,クモハ100-95,1961.07.06,日本車両,森ノ宮,,1969.11.25,淀川,1980.09.24,,
国,○,クモハ100-96,1961.07.20,日本車両,森ノ宮,,1977.01.18,淀川,1980.05.30,,
国,○,クモハ100-97,1961.08.03,日本車両,武蔵小金井,,1966.12.12,豊田,1982.05.31,クモヤ145-105,
,,,,,,,1980.05.17,武蔵小金井,,,
国,○,クモハ100-98,1961.08.12,日本車両,武蔵小金井,,1966.12.12,豊田,1985.02.28,,
,,,,,,,1981.09.01,武蔵小金井,,,
国,○,クモハ100-99,1961.09.28,日本車両,淀川,,1969.11.25,森ノ宮,1984.06.01,,
,,,,,,,1976.07.21,淀川,,,
国,○,クモハ100-100,1961.09.30,日本車両,淀川,,1973.08.19,鳳,1983.01.21,,
,,,,,,,1978.10.01,日根野,,,
国,○,クモハ100-101,1961.10.12,日本車両,武蔵小金井,,1972.09.13,中原,1981.10.16,,
国,○,クモハ100-102,1961.10.25,日本車両,武蔵小金井,,1966.12.12,豊田,1985.03.22,,
,,,,,,,1972.12.14,武蔵小金井,,,
国,○,クモハ100-103,1961.09.29,川崎車両,森ノ宮,,1969.11.24,淀川,1982.09.08,,
,,,,,,,1973.08.10,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,クモハ100-104,1961.10.12,川崎車両,武蔵小金井,,,,1973.01.11,クモハ100-1011,
国,○,クモハ100-105,1961.10.13,川崎車両,池袋,,1964.08.03,津田沼,1983.03.09,,
,,,,,,,1966.04.28,中野,,,
国,○,クモハ100-106,1961.10.13,川崎車両,池袋,,1964.09.28,武蔵小金井,1977.04.21,クモハ100-1015,
国,○,クモハ100-107,1961.10.26,川崎車両,池袋,,1964.07.28,津田沼,1983.03.29,,
国,○,クモハ100-108,1961.10.26,川崎車両,池袋,,1965.04.24,津田沼,1982.07.20,,
国,○,クモハ100-109,1961.07.18,近畿車両,森ノ宮,,1962.03.04,淀川,1984.01.19,,
,,,,,,,1963.12.04,森ノ宮,,,
,,,,,,,1976.07.18,淀川,,,
国,○,クモハ100-110,1961.07.27,近畿車両,森ノ宮,,1961.09.19,淀川,1983.04.27,,
,,,,,,,1961.10.30,森ノ宮,,,
,,,,,,,1969.12.06,淀川,,,
国,○,クモハ100-111,1961.07.27,近畿車両,淀川,,,,1984.09.27,,
国,○,クモハ100-112,1961.08.08,近畿車両,淀川,,1982.12.25,日根野,1985.01.11,,
国,○,クモハ100-113,1961.10.17,近畿車両,淀川,,,,1983.02.24,,
国,○,クモハ100-114,1961.10.24,近畿車両,淀川,,,,1983.08.01,,
国,○,クモハ100-115,1961.11.01,近畿車両,淀川,,,,1983.08.11,,
国,○,クモハ100-116,1961.11.09,近畿車両,淀川,,,,1984.01.24,クモヤ145-121,
国,○,クモハ100-117,1961.11.18,川崎車両,池袋,,1964.12.03,中野,1985.06.17,,
国,○,クモハ100-118,1961.11.18,川崎車両,池袋,,1965.09.16,中野,1982.02.10,,
国,○,クモハ100-119,1961.12.15,汽車会社,池袋,,1966.07.31,津田沼,1982.02.17,,
,,,,,,,1972.09.19,中原,,,
国,○,クモハ100-120,1961.12.23,汽車会社,池袋,,1965.06.05,津田沼,1982.02.17,,
,,,,,,,1970.12.01,浦和,,,
,,,,,,,1978.06.17,中原,,,
国,○,クモハ100-121,1961.12.23,汽車会社,池袋,,1967.10.01,武蔵小金井,1982.02.05,,
国,○,クモハ100-122,1962.02.20,日本車両,池袋,,1965.09.29,中野,1984.03.23,,
国,○,クモハ100-123,1962.02.20,日本車両,池袋,,1965.05.08,津田沼,1984.03.08,,
,,,,,,,2008.05.12,武蔵小金井,,,
国,○,クモハ100-124,1962.02.20,日本車両,池袋,,1965.09.04,中野,1983.11.07,,
国,○,クモハ100-125,1962.03.10,日本車両,武蔵小金井,,1966.12.12,豊田,1984.03.30,,
,,,,,,,1981.10.21,武蔵小金井,,,
国,○,クモハ100-126,1962.03.24,日本車両,池袋,,1978.03.17,中原,1982.03.06,,
,,,,,,,1980.12.10,中野,,,
国,○,クモハ100-127,1962.03.07,近畿車両,武蔵小金井,,1982.03.10,中原,1985.03.22,,
国,○,クモハ100-128,1962.03.17,近畿車両,池袋,,1968.09.28,津田沼,1982.03.31,クモル145-14,
国,○,クモハ100-129,1962.03.17,近畿車両,池袋,,1964.09.28,中野,1983.12.07,クモヤ145-120,
,,,,,,,1972.09.13,中原,,,
,,,,,,,1981.08.11,武蔵小金井,,,
国,○,クモハ100-130,1962.03.31,近畿車両,池袋,,1969.04.01,中野,1987.01.24,,
,,,,,,,1985.02.28,中原,,,
国,○,クモハ100-131,1962.03.31,近畿車両,池袋,,1978.02.09,中原,1982.07.27,,
国,○,クモハ100-132,1962.04.10,日本車両,池袋,,1978.01.26,中原,1985.02.28,,
,,,,,,,1978.10.17,中野,,,
国,○,クモハ100-133,1962.04.10,日本車両,池袋,,1969.03.15,津田沼,1986.06.30,,
国,○,クモハ100-134,1962.04.28,日本車両,池袋,,1965.05.13,津田沼,1983.03.09,,
,,,,,,,1972.10.01,中原,,,
国,○,クモハ100-135,1962.05.08,日本車両,池袋,,1964.11.19,中野,1984.08.30,,
,,,,,,,1982.09.01,日根野,,,
国,○,クモハ100-136,1962.07.25,日本車両,池袋,,1969.03.23,津田沼,1982.03.16,,
国,○,クモハ100-137,1962.07.31,日本車両,池袋,,1964.10.01,津田沼,1982.02.12,,
国,○,クモハ100-138,1962.08.16,日本車両,池袋,,1965.09.23,中野,1984.09.10,,
,,,,,,,1982.10.01,日根野,,,
国,○,クモハ100-139,1962.08.31,近畿車両,池袋,,1965.09.26,中野,1983.05.13,クモユニ147-2,
国,○,クモハ100-140,1962.11.24,日本車両,品川,,1967.11.26,津田沼,1985.06.17,,
国,○,クモハ100-141,1962.11.24,日本車両,品川,,1967.10.31,津田沼,1982.01.14,,
国,○,クモハ100-142,1962.12.14,日本車両,品川,,1964.09.02,津田沼,1983.02.08,,
国,○,クモハ100-143,1962.11.16,汽車会社,品川,,1967.12.21,津田沼,1983.02.18,,
,,,,,,,1979.04.21,中原,,,
国,○,クモハ100-144,1962.11.16,汽車会社,品川,,1967.11.08,津田沼,1982.04.19,,
国,東,クモハ100-145,1962.11.29,汽車会社,品川,,1967.03.29,池袋,2002.11.06,,
,,,,,,,1978.02.02,中原,,,
国,○,クモハ100-146,1962.10.12,川崎車両,池袋,,1964.09.17,津田沼,1982.03.04,,
国,○,クモハ100-147,1962.10.21,川崎車両,池袋,,1965.05.18,津田沼,1981.12.11,,
国,○,クモハ100-148,1962.10.31,川崎車両,品川,,1967.11.17,津田沼,1982.03.01,,
国,○,クモハ100-149,1962.11.08,川崎車両,品川,,1967.12.27,津田沼,1983.02.28,,
,,,,,,,1981.12.12,中原,,,
国,○,クモハ100-150,1962.11.16,川崎車両,品川,,1969.03.30,津田沼,1982.12.25,,
,,,,,,,1982.09.02,中原,,,
国,○,クモハ100-151,1962.11.28,川崎車両,品川,,1969.03.15,津田沼,1982.11.18,,
,,,,,,,1982.07.13,日根野,,,
国,○,クモハ100-152,1962.12.07,川崎車両,品川,,1969.03.05,津田沼,1981.08.15,,
,,,,,,,1979.05.11,中原,,,
国,○,クモハ100-153,1962.12.17,近畿車両,品川,,1969.04.02,津田沼,1982.12.25,,
国,東,クモハ100-154,1963.01.11,近畿車両,品川,,1969.03.26,津田沼,1989.02.08,,
,,,,,,,1986.09.01,習志野,,,
国,○,クモハ100-155,1963.02.14,日本車両,品川,,1969.04.04,津田沼,1983.02.25,,
国,○,クモハ100-156,1963.02.14,日本車両,下十条,,1963.10.01,品川,1983.04.27,,
,,,,,,,1967.12.19,森ノ宮,,,
,,,,,,,1977.03.16,淀川,,,
国,○,クモハ100-157,1963.02.22,日本車両,下十条,,1963.10.01,品川,1985.04.28,クモヤ145-123,
,,,,,,,1967.12.19,森ノ宮,,,
,,,,,,,1977.03.16,淀川,,,
国,○,クモハ100-158,1963.02.22,日本車両,下十条,,1963.10.01,品川,1986.05.29,クモヤ145-126,
,,,,,,,1967.04.02,池袋,,,
,,,,,,,1978.02.16,中原,,,
国,○,クモハ100-159,1963.01.11,汽車会社,品川,,1964.10.10,津田沼,1983.01.25,,
,,,,,,,1982.01.19,中野,,,
国,東,クモハ100-160,1963.06.20,汽車会社,下十条,,1963.10.01,品川,1989.07.25,,
,,,,,,,1964.11.01,津田沼,,,
,,,,,,,1986.09.01,習志野,,,
国,○,クモハ100-161,1963.02.08,川崎車両,品川,,1967.03.25,池袋,1983.12.15,,
,,,,,,,1967.12.03,品川,,,
,,,,,,,1969.03.21,津田沼,,,
,,,,,,,1972.09.12,中野,,,
国,○,クモハ100-162,1963.06.21,川崎車両,下十条,,1963.10.01,品川,1984.12.25,,
,,,,,,,1964.11.03,津田沼,,,
,,,,,,,1982.09.23,日根野,,,
国,○,クモハ100-163,1963.02.19,近畿車両,下十条,,1963.10.01,品川,1984.03.29,クモヤ145-602,
,,,,,,,1964.11.08,津田沼,,,
,,,,,,,1982.01.19,中野,,,
国,東,クモハ100-164,1963.06.18,近畿車両,下十条,,1963.10.01,品川,1991.09.10,,
,,,,,,,1964.10.29,津田沼,,,
,,,,,,,1972.09.05,中原,,,
,,,,,,,1972.11.11,豊田,,,
,,,,,,,1981.10.09,武蔵小金井,,,
,,,,,,,1983.07.27,中原,,,
国,○,クモハ100-165,1963.08.29,日本車両,下十条,,1963.10.01,品川,1984.11.09,,
,,,,,,,1964.10.10,津田沼,,,
国,○,クモハ100-166,1963.09.10,日本車両,津田沼,,,,1986.12.03,,
国,東,クモハ100-167,1963.07.19,川崎車両,津田沼,,1972.08.13,豊田,1991.01.28,,
,,,,,,,1981.09.30,中原,,,
国,○,クモハ100-168,1963.09.01,川崎車両,下十条,,1963.10.01,品川,1984.03.31,,
,,,,,,,1964.10.27,中野,,,
国,○,クモハ100-169,1963.08.30,川崎車両,津田沼,,1972.09.22,中原,1987.03.30,,
国,○,クモハ100-170,1963.09.13,川崎車両,津田沼,,,,1984.02.24,,
国,東,クモハ100-171,1963.08.01,汽車会社,下十条,,1963.10.01,品川,1990.03.30,,
,,,,,,,1964.10.28,中野,,,
,,,,,,,1984.02.09,津田沼,,,
,,,,,,,1986.09.01,習志野,,,
,,,,,,,1988.06.28,中原,,,
国,東,クモハ100-172,1963.08.12,汽車会社,下十条,,1963.10.01,品川,2005.08.01,,
,,,,,,,1967.04.22,池袋,,,
,,,,,,,1969.03.06,津田沼,,,
,,,,,,,1979.04.10,中原,,,
国,○,クモハ100-173,1963.08.23,汽車会社,下十条,,1963.10.01,品川,1984.04.17,,
,,,,,,,1964.11.16,中野,,,
